index_name,date,open,high,low,close,volume,change_pct
KSE100,2010-01-04,9411.75,9447.29,9371.28,9437.85,,0.54
KSE100,2010-01-05,9462.74,9664.28,9462.74,9657.38,,2.33
KSE100,2010-01-06,9698.02,9809.19,9698.02,9727.36,,0.72
KSE100,2010-01-07,9726.73,9813.13,9712.24,9737.47,,0.10
KSE100,2010-01-08,9752.66,9823.74,9735.24,9776.21,,0.40
KSE100,2010-01-11,9815.52,9865.93,9783.07,9797.00,,0.21
KSE100,2010-01-12,9821.80,9834.23,9751.06,9778.36,,-0.19
KSE100,2010-01-13,9778.78,9874.77,9778.78,9784.85,,0.07
KSE100,2010-01-14,9810.44,9820.05,9742.74,9802.45,,0.18
KSE100,2010-01-15,9841.74,9969.59,9841.74,9923.14,,1.23
KSE100,2010-01-18,9941.05,9953.77,9883.23,9895.46,,-0.28
KSE100,2010-01-19,9921.66,10003.52,9921.66,9954.41,,0.60
KSE100,2010-01-20,9945.20,10012.14,9893.05,9904.74,,-0.50
KSE100,2010-01-21,9928.92,9929.02,9737.09,9753.84,,-1.52
KSE100,2010-01-22,9782.75,9814.32,9718.90,9774.07,,0.21
KSE100,2010-01-25,9798.63,9810.50,9680.72,9689.20,,-0.87
KSE100,2010-01-26,9700.51,9753.54,9659.06,9666.48,,-0.23
KSE100,2010-01-27,9706.18,9740.30,9592.84,9603.55,,-0.65
KSE100,2010-01-28,9634.15,9643.92,9414.48,9579.81,,-0.25
KSE100,2010-01-29,9617.96,9637.52,9552.48,9614.19,,0.36
KSE100,2010-02-01,9637.15,9654.88,9567.37,9591.50,,-0.24
KSE100,2010-02-02,9609.73,9689.31,9571.93,9595.24,,0.04
KSE100,2010-02-03,9606.16,9638.33,9557.54,9627.63,,0.34
KSE100,2010-02-04,9632.95,9804.03,9632.95,9769.73,,1.48
KSE100,2010-02-08,9754.99,9844.75,9754.99,9809.98,,0.41
KSE100,2010-02-09,9826.33,9868.20,9783.65,9786.46,,-0.24
KSE100,2010-02-10,9809.70,9843.11,9724.32,9733.36,,-0.54
KSE100,2010-02-11,9754.48,9819.85,9754.48,9802.80,,0.71
KSE100,2010-02-12,9815.22,9881.77,9798.14,9805.87,,0.03
KSE100,2010-02-15,9727.43,9731.96,9666.26,9701.81,,-1.06
KSE100,2010-02-16,9704.17,9805.13,9704.17,9769.68,,0.70
KSE100,2010-02-17,9778.91,9929.93,9778.91,9867.09,,1.00
KSE100,2010-02-18,9932.90,9947.10,9880.28,9889.30,,0.23
KSE100,2010-02-19,9889.63,9978.57,9889.63,9902.62,,0.13
KSE100,2010-02-22,9926.54,9970.27,9903.04,9953.07,,0.51
KSE100,2010-02-23,9953.20,9973.59,9806.37,9823.57,,-1.30
KSE100,2010-02-24,9850.58,9850.58,9673.18,9686.18,,-1.40
KSE100,2010-02-25,9701.22,9741.23,9575.13,9667.17,,-0.20
KSE100,2010-02-26,9691.84,9716.97,9653.77,9657.79,,-0.10
KSE100,2010-03-01,9658.45,9684.52,9471.80,9498.56,,-1.65
KSE100,2010-03-02,9499.77,9583.31,9451.75,9546.38,,0.50
KSE100,2010-03-03,9560.48,9605.80,9408.81,9419.43,,-1.33
KSE100,2010-03-04,9426.37,9518.12,9370.80,9511.53,,0.98
KSE100,2010-03-05,9517.70,9646.17,9511.32,9626.29,,1.21
KSE100,2010-03-08,9637.23,9763.16,9628.89,9740.19,,1.18
KSE100,2010-03-09,9763.91,9860.59,9763.91,9787.03,,0.48
KSE100,2010-03-10,9801.37,9844.03,9767.41,9784.98,,-0.02
KSE100,2010-03-11,9785.86,9910.21,9785.86,9879.70,,0.97
KSE100,2010-03-12,9889.90,10039.31,9862.03,10025.99,,1.48
KSE100,2010-03-15,10055.11,10131.22,10039.63,10088.45,,0.62
KSE100,2010-03-16,10111.19,10122.66,10000.66,10017.71,,-0.70
KSE100,2010-03-17,10018.97,10096.15,9972.53,9981.48,,-0.36
KSE100,2010-03-18,10025.62,10050.04,9990.65,10007.87,,0.26
KSE100,2010-03-19,10022.07,10047.17,9992.86,10000.93,,-0.07
KSE100,2010-03-22,9995.43,10026.38,9961.08,9963.35,,-0.38
KSE100,2010-03-24,9986.07,10164.90,9986.07,10146.27,,1.84
KSE100,2010-03-25,10192.92,10224.88,10119.00,10127.03,,-0.19
KSE100,2010-03-26,10133.74,10179.72,10109.15,10137.93,,0.11
KSE100,2010-03-29,10165.02,10173.76,10042.42,10056.46,,-0.80
KSE100,2010-03-30,10056.42,10131.18,10015.55,10073.76,,0.17
KSE100,2010-03-31,10071.99,10284.60,10071.99,10178.43,,1.04
KSE100,2010-04-01,10236.91,10314.73,10227.86,10246.77,,0.67
KSE100,2010-04-02,10260.41,10429.99,10260.41,10416.51,,1.66
KSE100,2010-04-05,10443.24,10491.82,10403.83,10447.84,,0.30
KSE100,2010-04-06,10479.93,10554.52,10405.13,10419.82,,-0.27
KSE100,2010-04-07,10442.81,10552.70,10442.81,10523.01,,0.99
KSE100,2010-04-08,10549.47,10594.39,10492.34,10533.57,,0.10
KSE100,2010-04-09,10560.06,10627.96,10560.06,10586.46,,0.50
KSE100,2010-04-12,10587.18,10637.08,10533.40,10557.19,,-0.28
KSE100,2010-04-13,10579.96,10586.57,10498.73,10506.20,,-0.48
KSE100,2010-04-14,10532.59,10592.62,10495.48,10570.88,,0.62
KSE100,2010-04-15,10574.99,10688.76,10574.99,10677.47,,1.01
KSE100,2010-04-16,10702.51,10720.60,10646.22,10659.21,,-0.17
KSE100,2010-04-19,10674.33,10691.79,10632.31,10669.88,,0.10
KSE100,2010-04-20,10685.20,10731.39,10634.76,10641.52,,-0.27
KSE100,2010-04-21,10644.40,10654.53,10529.30,10590.21,,-0.48
KSE100,2010-04-22,10604.68,10681.77,10599.10,10615.15,,0.24
KSE100,2010-04-23,10618.90,10638.24,10578.54,10607.03,,-0.08
KSE100,2010-04-26,10628.75,10639.69,10539.72,10556.37,,-0.48
KSE100,2010-04-27,10562.52,10625.17,10543.09,10556.38,,0.00
KSE100,2010-04-28,10572.67,10578.81,10445.43,10519.02,,-0.35
KSE100,2010-04-29,10518.70,10579.44,10425.93,10454.63,,-0.61
KSE100,2010-04-30,10455.30,10485.73,10407.54,10428.12,,-0.25
KSE100,2010-05-03,10420.94,10455.76,10340.13,10389.46,,-0.37
KSE100,2010-05-04,10390.72,10559.83,10390.72,10467.76,,0.75
KSE100,2010-05-05,10467.96,10589.35,10425.64,10561.74,,0.90
KSE100,2010-05-06,10569.54,10601.79,10538.28,10553.12,,-0.08
KSE100,2010-05-07,10527.08,10527.08,10255.14,10271.47,,-2.67
KSE100,2010-05-10,10261.86,10338.47,10246.86,10288.14,,0.16
KSE100,2010-05-11,10335.06,10381.51,10192.64,10208.81,,-0.77
KSE100,2010-05-12,10213.08,10245.15,10079.65,10222.04,,0.13
KSE100,2010-05-13,10242.81,10303.57,10212.83,10279.52,,0.56
KSE100,2010-05-14,10291.31,10341.47,10230.97,10271.71,,-0.08
KSE100,2010-05-17,10269.87,10269.87,10023.60,10033.76,,-2.32
KSE100,2010-05-18,10032.38,10113.16,10001.57,10082.04,,0.48
KSE100,2010-05-19,10074.08,10096.28,9938.99,10050.04,,-0.32
KSE100,2010-05-20,10037.33,10071.98,9977.51,9993.40,,-0.56
KSE100,2010-05-21,9978.10,9984.27,9818.63,9871.16,,-1.22
KSE100,2010-05-24,9872.32,9883.57,9656.48,9687.41,,-1.86
KSE100,2010-05-25,9661.69,9752.30,9357.80,9428.44,,-2.67
KSE100,2010-05-26,9427.41,9627.61,9355.34,9611.55,,1.94
KSE100,2010-05-27,9613.01,9655.37,9411.57,9439.97,,-1.79
